Name;PotD;HoH;EO;Id;Aggro;DangerLevel;Patrol;BossOrAdd;Special
ruins runner;;;;2;;;;;
antelope doe;;;;3;;;;;
antelope stag;;;;4;Proximity;Easy;;;
opo-opo;;;;5;;;;;
lemur;;;;6;;;;;
giant gnat;;;;7;;;;;
ked;;;;8;;;;;
miteling;;;;9;;;;;
diremite;;;;10;;;;;
banemite;;;;11;;;;;
northern vulture;;;;12;;;;;
arbor buzzard;;;;13;;;;;
wild hoglet;;;;14;;;;;
wild hog;;;;15;;;;;
wild boar;;;;16;;;;;
balloon;;;;17;;;;;
zombie;;;;18;;;;;
zombie mage;;;;19;;;;;
magicked bones;;;;20;;;;;
trickster imp;;;;21;;;;;
roselet;;;;22;;;;;
kedtrap;;;;23;;;;;
treant;;;;24;;;;;
dryad;;;;25;;;;;
gigantoad;;;;26;;;;;
nix;;;;27;;;;;
coeurl pup;;;;28;;;;;
dullahan;;;;29;;;;;
clay golem;;;;30;;;;;
mindflayer;;;;31;;;;;
microchu;;;;32;;;;;
ochu;;;;33;;;;;
adamantoise;;;;34;;;;;
tonberry;;;;35;;;;;
boring weevil;;;;36;;;;;
ground squirrel;;;;37;;;;;
black bat;;;;38;;;;;
tree slug;;;;39;;;;;
Shroud hare;;;;40;;;;;
syrphid swarm;;;;41;;;;;
yarzon;;;;42;;;;;
chigoe;;;;43;;;;;
jumping djigga;;;;44;;;;;
will-o'-the-wisp;;;;45;;;;;
plasmoid;;;;46;;;;;
forest funguar;;;;47;;;;;
toadstool;;;;48;;;;;
little ladybug;;;;49;;;;;
goblin thug;;;;50;;;;;
alpha anole;;;;51;;;;;
Redbelly lookout;;;;52;Proximity;Easy;;;
3rd Cohort hoplomachus;;;;53;;;;;
hornet swarm;;;;54;;;;;
deathgaze;;;;55;;;;;
water sprite;;;;56;;;;;
3rd Cohort decurion;;;;57;;;;;
3rd Cohort laquearius;;;;58;;;;;
3rd Cohort eques;;;;59;;;;;
3rd Cohort secutor;;;;60;;;;;
3rd Cohort signifer;;;;61;;;;;
pteroc;;;;62;;;;;
pudding;;;;63;;;;;
sylvan screech;;;;64;;;;;
sylvan sigh;;;;65;;;;;
sylvan snarl;;;;66;;;;;
sylpheed screech;;;;67;;;;;
sylpheed sigh;;;;68;;;;;
sylpheed snarl;;;;69;;;;;
sylpheed song;;;;70;;;;;
Silbexio of the Dusken Knot;;;;71;;;;;
Bockman;;;;72;;;;;
Galvanth the Dominator;;;;73;;;;;
Shredder;;;;74;;;;;
Aerico;;;;75;;;;;
Gelmorran strutfinder;;;;76;;;;;
Gelmorran cogfinder;;;;77;;;;;
Gelmorran nailfinder;;;;78;;;;;
Dalamud priest;;;;79;;;;;
Redbelly gutter;;;;80;;;;;
Severaint Seven Splinter;;;;81;;;;;
Redbelly hivekeep;;;;82;;;;;
Redbelly sharpeye;;;;83;Proximity;Easy;;;
Redbelly chanter;;;;84;;;;;
Dofagan the Penitent;;;;85;;;;;
Hollow Baron lodesman;;;;86;;;;;
Hollow Baron waister;;;;87;;;;;
Hollow Baron engineer;;;;88;;;;;
Hollow Baron gunner;;;;89;;;;;
spriggan collector;;;;90;;;;;
